feature,importance
comment_to_like_ratio,0.2540038799074582
share_to_like_ratio,0.19348349125353648
shares,0.11481454982006432
comments,0.10482726520130421
log_followers,0.045549704734595416
followers_count,0.04443464540067951
likes,0.04093017549731474
content_engagement_density,0.0271067917041071
follow_ratio,0.02322062492892757
following_count,0.02057405630373872
content_length,0.02017968299965433
account_age_days,0.020104297716943918
account_maturity,0.019733005343239407
user_age,0.017122325161029486
is_micro_influencer,0.004946782940633908
has_media,0.0034787524576015525
device_iphone,0.0029767079961367784
user_gender_male,0.002923236067413007
device_tablet,0.0028106129017323855
user_gender_other,0.0027667048217795386
language_en,0.0027001542214418104
language_tr,0.002572302566327677
device_web,0.0025083919540711355
language_fr,0.002465182468532121
language_es,0.0023104835586615032
topic_fashion,0.001513016926509359
topic_technology,0.0014907494827941907
topic_memes,0.0014678464515554515
topic_health,0.001423329258830913
topic_photography,0.0014197381756698528
topic_travel,0.001414550023628717
topic_finance,0.001339090254080096
topic_food,0.0013086348218756612
topic_education,0.0013022202135857179
topic_music,0.0012945041395792246
topic_gaming,0.0012881043466657278
topic_books,0.0012733782071259743
is_verified,0.0012457456014015437
topic_pets,0.0012335472453104037
topic_politics,0.0012251943915773107
topic_fitness,0.0012165425328851227
